¡Claro que sí! He analizado todas las páginas del programa y he unificado los diferentes formatos (Música, Talleres, Cine, etc.) en una **sola base de datos homogénea**. 

He definido las siguientes columnas para que la información tenga sentido en un formato Excel:
1. **Categoría Principal:** (Música, Talleres, Mercados, Literatura, Artes Escénicas, etc.)
2. **Fecha:** Día del evento.
3. **Lugar / Espacio:** Parque o tarima específica.
4. **Horario:** Hora de inicio (y fin, si aplica).
5. **Actividad / Nombre del Evento:** Qué se va a hacer.
6. **Artista / Grupo / Encargado:** Quién imparte o se presenta.
7. **Género / Subcategoría / Descripción:** Detalle del tipo de música, taller, o sinopsis.
8. **Público Dirigido / Observaciones:** Edades, requisitos de inscripción, etc.

### Programación Homogenizada - SJ, Aquí 

| Categoría Principal | Fecha | Lugar / Espacio | Horario | Actividad / Nombre del Evento | Artista / Grupo / Encargado | Género / Subcategoría / Descripción | Público Dirigido / Observaciones |
| **Bibliotecas** | Sábado 11 | Parque España | 3:00 p.m. | ¡Abran campo, llegó el swing! | Bibliotecas Municipales | Bibliotecas | Todo público |
| **Bibliotecas** | Sábado 11 | Parque España | 3:30 p.m. | Cuadro sensorial | Bibliotecas Municipales | Ludoteca | Todo público |
| **Bibliotecas** | Sábado 11 | Parque España | 4:00 p.m. | Arte y decoración con lentejuelas | Bibliotecas Municipales | Bibliotecas | Todo público |
| **Bibliotecas** | Sábado 11 | Parque España | 4:30 p.m. | Robótica Spike creación de Kiki | Bibliotecas Municipales | Tecnología | Todo público |
| **Bibliotecas** | Sábado 11 | Parque España | 5:00 p.m. | Carrera de sacos | Bibliotecas Municipales | Bibliotecas | Todo público |
| **Bibliotecas** | Sábado 11 | Parque España | 6:00 p.m. | Taller Robot explorador | Bibliotecas Municipales | Tecnología | Todo público |
| **Bibliotecas** | Sábado 11 | Parque España | 7:00 p.m. | Aprieta, moldea y crea | Bibliotecas Municipales | Bibliotecas | Todo público |
| **Bibliotecas** | Sábado 11 | Parque España | 7:30 p.m. | El robot bailarín Break Dance | Bibliotecas Municipales | Tecnología | Todo público |
| **Bibliotecas** | Sábado 11 | Parque España | 8:00 p.m. | Flor decorativa | Bibliotecas Municipales | Bibliotecas | Todo público |
| **Literatura** | Domingo 12 | Parque España (Corredor Lit) | 12:00 m.d. | Cuentos de Línea Vieja | Eyder Cuentacuentos | Narración Oral | Todo público |
| **Literatura** | Domingo 12 | Parque España (Corredor Lit) | 2:00 p.m. | D`un Pueblo | XibalBaLog producción | Tarima | Todo público |
| **Literatura** | Domingo 12 | Parque España (Corredor Lit) | 5:00 p.m. | Con el Alma Flamenca | El Tablao Flamenco | Danza española | Todo público |
| **Bibliotecas** | Domingo 12 | Parque España | 10:00 a.m. | La rana tragona | Bibliotecas Municipales | Ludoteca | Todo público |
| **Bibliotecas** | Domingo 12 | Parque España | 10:45 a.m. | Manitas pintoras | Bibliotecas Municipales | Ludoteca | Todo público |
| **Bibliotecas** | Domingo 12 | Parque España | 11:00 a.m. | Milo | Bibliotecas Municipales | Tecnología | Todo público |
| **Bibliotecas** | Domingo 12 | Parque España | 11:00 a.m. | Títere con bolsa de papel | Bibliotecas Municipales | Ludoteca | Todo público |
| **Bibliotecas** | Domingo 12 | Parque España | 11:00 a.m. | Pinta tu bolso | Bibliotecas Municipales | Bibliotecas | Todo público |
| **Bibliotecas** | Domingo 12 | Parque España | 1:00 p.m. | Pajarito con paletas refrigerador | Bibliotecas Municipales | Ludoteca | Todo público |
| **Bibliotecas** | Domingo 12 | Parque España | 1:00 p.m. | Organizador de cactus | Bibliotecas Municipales | Bibliotecas | Todo público |
| **Bibliotecas** | Domingo 12 | Parque España | 1:30 p.m. | El semáforo (robótica) | Bibliotecas Municipales | Tecnología | Todo público |
| **Bibliotecas** | Domingo 12 | Parque España | 2:00 p.m. | Pasar el aro | Bibliotecas Municipales | Bibliotecas | Todo público |
| **Bibliotecas** | Domingo 12 | Parque España | 2:30 p.m. | Juego de memoria | Bibliotecas Municipales | Ludoteca | Todo público |
| **Bibliotecas** | Domingo 12 | Parque España | 3:00 p.m. | Orquesta interactiva | Bibliotecas Municipales | Scratch Y Makey Makey | Todo público |
| **Bibliotecas** | Domingo 12 | Parque España | 3:00 p.m. | ¡Abran campo, llegó el swing! | Bibliotecas Municipales | Bibliotecas | Todo público |
| **Bibliotecas** | Domingo 12 | Parque España | 3:30 p.m. | Cuadro sensorial | Bibliotecas Municipales | Ludoteca | Todo público |
| **Bibliotecas** | Domingo 12 | Parque España | 4:00 p.m. | Arte y decoración con lentejuelas | Bibliotecas Municipales | Bibliotecas | Todo público |
| **Bibliotecas** | Domingo 12 | Parque España | 4:30 p.m. | Robótica Spike creación de Kiki | Bibliotecas Municipales | Tecnología | Todo público |
| **Bibliotecas** | Domingo 12 | Parque España | 5:00 p.m. | Carrera de sacos | Bibliotecas Municipales | Bibliotecas | Todo público |
| **Bibliotecas** | Domingo 12 | Parque España | 6:00 p.m. | Taller Robot explorador | Bibliotecas Municipales | Tecnología | Todo público |
| **Bibliotecas** | Domingo 12 | Parque España | 7:00 p.m. | Aprieta, moldea y crea | Bibliotecas Municipales | Bibliotecas | Todo público |
| **Bibliotecas** | Domingo 12 | Parque España | 7:30 p.m. | El robot bailarín Break Dance | Bibliotecas Municipales | Tecnología | Todo público |
| **Bibliotecas** | Domingo 12 | Parque España | 8:00 p.m. | Flor decorativa | Bibliotecas Municipales | Bibliotecas | Todo público |
| **Artes Visuales** | Viernes 10 | Estación al Atlántico (Frente) | 12:00 m.d. - 9:00 p.m. | Lienzo creativo | Andrea Araya Guerra | Artes visuales / Obra participativa | Todo público |
| **Artes Visuales** | Viernes 10 | Parque Nacional | 12:00 m.d. - 9:00 p.m. | Anudar: identidades conectadas | Basthian Magaña / Diego Mora | Instalación fotográfica | Todo público |
| **Artes Visuales** | Viernes 10 | Parque Nacional | 12:00 m.d. - 9:00 p.m. | Viendo el presente de San José | Municipalidad de San José | "PhotoBooth" | Todo público |
| **Patrimonio** | Viernes 10 | Asamblea Legislativa (Edif. Antiguo) | 2:00 p.m. / 4:00 p.m. | Visitas guiadas (Fortaleciendo la paz) | Asamblea Legislativa | Historia, memoria y ciudad | Cupo limitado. Requiere inscripción |
| **Artes Visuales** | Viernes 10 | Alrededores Parque Morazán | 4:00/4:30/5:00/5:30 pm| Exposición Fauna (Realidad Aumentada)| Alianza Francesa | Artes visuales / QR | Calle 5, costado oeste Delta Hotels |
| **Artes Visuales** | Viernes 10 | Plaza Libertad Electoral / TSE | 12:00 m.d. - 9:00 p.m. | San José te quiere aquí | Municipalidad de San José | Mural participativo | Todo público |
| **Juegos** | Viernes 10 | Parque Jardín de Paz | 12:00 m.d. - 5:00 p.m. | Sacándole jugo al juego | Anselmo Navarro Prados | Instalación participativa | +6 años |
| **Artes Visuales** | V/S/D | Teatro Nacional (S. Las Musas) | 9:00 a.m. - 5:00/6:00p.m| Expo: Reimaginar Teatro Nacional | Francisco Coto | Artes visuales / Fotografía | Lunes a viernes hasta 6pm. S/D hasta 5pm. |
| **Artes Visuales** | Sábado 11 | Estación al Atlántico (Frente) | 11:00 a.m. - 5:00 p.m. | Lienzo creativo | Andrea Araya Guerra | Artes visuales / Obra participativa | Todo público |
| **Artes Visuales** | Sábado 11 | Parque Nacional | 11:00 a.m. - 6:00 p.m. | Anudar: identidades conectadas | Basthian Magaña / Diego Mora | Instalación fotográfica | Todo público |
| **Artes Visuales** | Sábado 11 | Parque Nacional | 11:00 a.m. - 9:00 p.m. | Viendo el presente de San José | Municipalidad de San José | "PhotoBooth" | Todo público |
| **Diseño/Moda** | Sábado 11 | Parque Nacional | 12:00 m.d. - 4:00 p.m. | Laboratorio Urbano SJ / Tours | Municipalidad de San José | Intervención urbana | Desde costado sureste del parque |
| **Diseño/Moda** | Sábado 11 | Parque Nacional | 4:00 p.m. | San José Bazar Fashion Show | San José Bazar | Diseño - Moda | Desfile de moda circular |
| **Patrimonio** | Sábado 11 | Asamblea Legislativa (Edif. Antiguo) | 10:00am/12:00md/2:00pm/4:00pm| Visitas guiadas (Fortaleciendo la paz) | Asamblea Legislativa | Historia, memoria y ciudad | Cupo limitado. Requiere inscripción |
| **Artes Visuales** | Sábado 11 | Plaza Libertad Electoral / TSE | 12:00 m.d. - 9:00 p.m. | San José te quiere aquí | Municipalidad de San José | Mural participativo | Todo público |
| **Artes Visuales** | Sábado 11 | Tienda Ñ | 3:00 p.m. - 4:00 p.m. | Taller: escultura feroz | Ferdinand Sosa | Personalización esculturas | Cupo limitado |
| **Recreación** | Sábado 11 | Parque Jardín de Paz | 11:00 a.m. - 6:00 p.m. | Picnic para jugar | José Pablo Enríquez / Alex Esteban | Juegos / Historia y patrimonio | Todo público |
| **Música** | Sábado 11 | Parque Jardín de Paz | 3:00 p.m. - 5:00 p.m. | Círculo de tambores | José Andrés Alfaro Pereira | Obra musical participativa | Todo público |
| **Artes Visuales** | Domingo 12 | Estación al Atlántico (Frente) | 12:00 m.d. - 5:00 p.m. | Lienzo creativo | Andrea Araya Guerra | Artes visuales / Obra participativa | Todo público |
| **Artes Visuales** | Domingo 12 | Parque Nacional | 11:00 a.m. - 6:00 p.m. | Anudar: identidades conectadas | Basthian Magaña / Diego Mora | Instalación fotográfica | Todo público |
| **Artes Visuales** | Domingo 12 | Parque Nacional | 11:00 a.m. - 8:00 p.m. | Viendo el presente de San José | Municipalidad de San José | "PhotoBooth" | Todo público |
| **Patrimonio** | Domingo 12 | Asamblea Legislativa (Edif. Antiguo) | 10:00am/12:00md/2:00pm | Visitas guiadas (Fortaleciendo la paz) | Asamblea Legislativa | Historia, memoria y ciudad | Cupo limitado. Requiere inscripción |
| **Artes Visuales** | Domingo 12 | Plaza Libertad Electoral / TSE | 12:00 m.d. - 9:00 p.m. | San José te quiere aquí | Municipalidad de San José | Mural participativo | Todo público |
| **Recreación** | Domingo 12 | Parque Jardín de Paz | 11:00 a.m. - 6:00 p.m. | Picnic para jugar | José Pablo Enríquez / Alex Esteban | Juegos / Historia y patrimonio | Todo público |
| **Recreación** | Domingo 12 | Parque Jardín de Paz | 11:00 a.m. - 6:00 p.m. | Sacándole jugo al juego | Anselmo Navarro Prados | Instalación participativa | +6 años |
| **Deportes** | Sábado 11 | Plaza de la Democracia | 11:00 a.m. - 6:00 p.m. | Zona Deportiva y Recreativa | Comité Cantonal de Deportes | Deportes | Todo público |
| **Deportes** | Sábado 11 | Plaza de la Democracia | 2:00 p.m. - 8:00 p.m. | Veladas de Boxeo | JB Producciones / Asoc. Boxeo | Boxeo | Todo público |
| **Cine** | Sábado 11 | Plaza de la Democracia | 2:00 p.m. - 2:45 p.m. | Cine Sur / Infantil | Carretica Cuentera | 16 Cuentos infantiles narrados | Serie Cuenticos en familia |
| **Cine** | Sábado 11 | Plaza de la Democracia | 3:00 p.m. - 3:40 p.m. | Bonart el alquimista y su amiga | Jorge Alberto Solís | Mimo / Clown | Todo público |
| **Cine** | Sábado 11 | Plaza de la Democracia | 4:00 p.m. - 5:30 p.m. | El baile de la gacela (2018) | Dirección: Iván Porras | Cine / Película | Mayores / Menores acompañados |
| **Cine** | Sábado 11 | Plaza de la Democracia | 5:50 p.m. - 7:05 p.m. | El sonido de las cosas (2016) | Dirección: Ariel Escalante | Cine / Película | Todo público |
| **Cine** | Sábado 11 | Plaza de la Democracia | 7:20 p.m. - 9:00 p.m. | San José de noche (2016) | Dir: Federico Lang (Caramba Films) | Serie documental | Cap: Mariachi / Hay rock / La bohemia |
| **Deportes** | Domingo 12 | Plaza de la Democracia | 11:00 a.m. - 6:00 p.m. | Zona Deportiva y Recreativa | Comité Cantonal de Deportes | Deportes | Todo público |
| **Deportes** | Domingo 12 | Plaza de la Democracia | 2:00 p.m. - 7:00 p.m. | Veladas de Boxeo | JB Producciones / Asoc. Boxeo | Boxeo | Todo público |
| **Cine** | Domingo 12 | Plaza de la Democracia | 2:00 p.m. - 2:45 p.m. | Cine Sur / Infantil | Carretica Cuentera | 16 Cuentos infantiles narrados | Serie Cuenticos en familia |
| **Cine** | Domingo 12 | Plaza de la Democracia | 3:00 p.m. - 4:30 p.m. | El baile de la gacela (2018) | Dirección: Iván Porras | Cine / Película | Mayores / Menores acompañados |
| **Cine** | Domingo 12 | Plaza de la Democracia | 4:50 p.m. - 6:05 p.m. | El sonido de las cosas (2016) | Dirección: Ariel Escalante | Cine / Película | Todo público |
| **Cine** | Domingo 12 | Plaza de la Democracia | 6:20 p.m. - 8:00 p.m. | San José de noche (2016) | Dir: Federico Lang (Caramba Films) | Serie documental | Cap: La California / Lucha / Mayoreo |
| **Deportes** | Sábado 11 | Min. Relaciones Exteriores (Av 7-9) | 11:00 a.m. - 6:00 p.m. | Zona Deportiva y Recreativa | Comité Cantonal de Deportes | Deportes | Todo público |
| **Deportes** | Sábado 11 | Min. Relaciones Exteriores (Av 7-9) | 2:00 p.m. - 8:00 p.m. | Veladas de Boxeo | JB Producciones / Asoc. Boxeo | Boxeo | Todo público |
| **Cine** | Sábado 11 | Min. Relaciones Exteriores (Av 7-9) | 2:00 p.m. - 2:40 p.m. | Bonart el alquimista y su amiga | Jorge Alberto Solís | Mimo / Clown | Todo público |
| **Cine** | Sábado 11 | Min. Relaciones Exteriores (Av 7-9) | 3:00 p.m. - 3:45 p.m. | Cine Sur / Infantil | Carretica Cuentera | 16 Cuentos infantiles narrados | Serie Cuenticos en familia |
| **Cine** | Sábado 11 | Min. Relaciones Exteriores (Av 7-9) | 4:00 p.m. - 5:30 p.m. | El baile de la gacela (2018) | Dirección: Iván Porras | Cine / Película | Mayores / Menores acompañados |
| **Cine** | Sábado 11 | Min. Relaciones Exteriores (Av 7-9) | 5:50 p.m. - 7:05 p.m. | El sonido de las cosas (2016) | Dirección: Ariel Escalante | Cine / Película | Todo público |
| **Cine** | Sábado 11 | Min. Relaciones Exteriores (Av 7-9) | 7:20 p.m. - 9:00 p.m. | San José de noche (2016) | Dir: Federico Lang (Caramba Films) | Serie documental | Cap: Karaoke/Sodas/Barrio Chino... |
| **Deportes** | Domingo 12 | Min. Relaciones Exteriores (Av 7-9) | 11:00 a.m. - 6:00 p.m. | Zona Deportiva y Recreativa | Comité Cantonal de Deportes | Deportes | Todo público |
| **Deportes** | Domingo 12 | Min. Relaciones Exteriores (Av 7-9) | 2:00 p.m. - 7:00 p.m. | Veladas de Boxeo | JB Producciones / Asoc. Boxeo | Boxeo | Todo público |
| **Cine** | Domingo 12 | Min. Relaciones Exteriores (Av 7-9) | 2:00 p.m. - 2:45 p.m. | Cine Sur / Infantil | Carretica Cuentera | 16 Cuentos infantiles narrados | Serie Cuenticos en familia |
| **Cine** | Domingo 12 | Min. Relaciones Exteriores (Av 7-9) | 3:00 p.m. - 4:30 p.m. | El baile de la gacela (2018) | Dirección: Iván Porras | Cine / Película | Mayores / Menores acompañados |
| **Cine** | Domingo 12 | Min. Relaciones Exteriores (Av 7-9) | 4:50 p.m. - 6:05 p.m. | El sonido de las cosas (2016) | Dirección: Ariel Escalante | Cine / Película | Todo público |
| **Cine** | Domingo 12 | Min. Relaciones Exteriores (Av 7-9) | 6:20 p.m. - 8:00 p.m. | San José de noche (2016) | Dir: Federico Lang (Caramba Films) | Serie documental | Cap: Salones / Recolectores / La Muerte |
| **Artes Escénicas** | Viernes 10 | Gradas Tribunal Supremo (TSE) | 6:00 p.m. | Festival Puro Cuento | Edgar Serrano (Co) Monólogo | Narración Oral | Todo público |
| **Artes Escénicas** | Viernes 10 | Gradas Tribunal Supremo (TSE) | 7:00 p.m. | Festival Puro Cuento | José M. Martinez Monólogo | Narración Oral | Todo público |
| **Artes Escénicas** | Viernes 10 | Gradas Tribunal Supremo (TSE) | 7:30 p.m. | Festival Puro Cuento | Mildred Brenes Mora | Narración Oral | Todo público |
| **Artes Escénicas** | Viernes 10 | Gradas Tribunal Supremo (TSE) | 8:00 p.m. | Festival Puro Cuento | Disparejos  Cuentería | Narración Oral | Todo público |
| **Artes Escénicas** | Viernes 10 | Parque España (Corredor Lit) | 5:00 p.m. | Show de magia | Mago Danny | Performance | Todo público |
| **Artes Escénicas** | Viernes 10 | Parque España (Corredor Lit) | 7:00 p.m. | La Magia de la Danza Árabe | Sheriham Bellydance | Danza | Todo público |
| **Artes Escénicas** | Sábado 11 | Bulevar Avenida Central | 9:00 a.m. | Conmemoración Batalla de Rivas | Instituciones educativas | Pasacalles | Todo público |
| **Artes Escénicas** | Sábado 11 | Gradas Tribunal Supremo (TSE) | 11:00 a.m. | Festival Puro Cuento | Shalala Espectáculo | Títeres | Todo público |
| **Artes Escénicas** | Sábado 11 | Gradas Tribunal Supremo (TSE) | 12:00 m.d. | Festival Puro Cuento | Edgar Serrano (Co) Monólogo | Narración Oral | Todo público |
| **Artes Escénicas** | Sábado 11 | Gradas Tribunal Supremo (TSE) | 1:00 p.m. | Festival Puro Cuento | Cuentamundos Cuentería | Narración Oral | Todo público |
| **Artes Escénicas** | Sábado 11 | Gradas Tribunal Supremo (TSE) | 2:00 p.m. | Festival Puro Cuento | Flow Studio Danza | Danza | Todo público |
| **Artes Escénicas** | Sábado 11 | Gradas Tribunal Supremo (TSE) | 3:00 p.m. | Festival Puro Cuento | Andrey Cuentería | Narración Oral | Todo público |
| **Artes Escénicas** | Sábado 11 | Gradas Tribunal Supremo (TSE) | 4:00 p.m. | Festival Puro Cuento | Beto Garrapata Magia | Show de magia | Todo público |
| **Artes Escénicas** | Sábado 11 | Gradas Tribunal Supremo (TSE) | 5:00 p.m. | Festival Puro Cuento | Alex Marzzo Monólogo | Narración Oral | Todo público |
| **Artes Escénicas** | Sábado 11 | Gradas Tribunal Supremo (TSE) | 6:00 p.m. | Festival Puro Cuento | Colectivo Cuentiando Cuentería | Narración Oral | Todo público |
| **Artes Escénicas** | Sábado 11 | Gradas Tribunal Supremo (TSE) | 7:00 p.m. | Festival Puro Cuento | Aráknido Circo | Show de circo | Todo público |
| **Artes Escénicas** | Sábado 11 | Gradas Tribunal Supremo (TSE) | 8:00 p.m. | Festival Puro Cuento | Gustavo Peláez Monólogo | Stand up Comedy | Todo público |
| **Artes Escénicas** | Sábado 11 | Parque Morazán (Tarima) | 10:45 a.m. | Las Lavanderas / Historia del Fusil | Grupo de Teatro Boca Calle MSJ | Teatro | Todo público |
| **Artes Escénicas** | Sábado 11 | Parque España (Corredor Lit) | 1:00 p.m. | Piojito | No sé qué Producciones | Teatro | Todo público |
| **Artes Escénicas** | Sábado 11 | Parque España (Corredor Lit) | 3:00 p.m. | Cuentos a la Obra | Los Complices | Teatro | Todo público |
| **Artes Escénicas** | Sábado 11 | Parque España (Corredor Lit) | 5:00 p.m. | Cuentos y Cantos | Sole Alegría | Títeres | Todo público |
| **Artes Escénicas** | Sábado 11 | Tarima Urbana Calle 21 | 11:00 a.m. | Classics Clows | Casa Circo El Respiro | Circo | Todo público |
| **Artes Escénicas** | Sábado 11 | Tarima Urbana Calle 21 | 12:30 p.m. | Namaitmi, Los sueños del agua | Lunayena títeres | Títeres | Todo público |
| **Artes Escénicas** | Sábado 11 | Tarima Urbana Calle 21 | 1:30 p.m. | Cía. Folclorica Guaycará | Ecos de una ciudad de flores | Danza | Todo público |
| **Artes Escénicas** | Sábado 11 | Paseo de los Damas | 2:00 p.m. | Santuario | Circo La Libertad | Pasacalles | Todo público |
| **Artes Escénicas** | Sábado 11 | Parque España (Tarima Electrónica) | 2:00 p.m. | Yo Soy | Greta Castro | Performance | Todo público |
| **Artes Escénicas** | Sábado 11 | Parque España (Tarima Electrónica) | 3:00 p.m. | Había una vez | Raiz teatro | Teatro | Todo público |
| **Artes Escénicas** | Sábado 11 | Tarima Móvil - Asamblea | 11:00 a.m. | ¡Guipipia, Tradición y Cultura! | Asoc. Cultura Popular Guipipia | Danza Folclórica | Todo público |
| **Artes Escénicas** | Sábado 11 | Tarima Móvil - Asamblea | 12:10 p.m. | Inspirando a Costa Rica | Inspiraciones Costarricenses | Danza Folclórica | Todo público |
| **Artes Escénicas** | Sábado 11 | Tarima Móvil - Asamblea | 12:30 p.m. | Temporada de Huracanes | Gen Flores | Danza | Todo público |
| **Artes Escénicas** | Sábado 11 | Tarima Móvil - Asamblea | 1:10 p.m. | Acertijo ilógico | Baltazar Vincenti | Danza | Todo público |
| **Artes Escénicas** | Sábado 11 | Tarima Móvil - Asamblea | 1:45 p.m. | Sara y el Gigante | Colectivo Escenico Ataña | Teatro | Todo público |
| **Artes Escénicas** | Sábado 11 | Tarima Móvil - Asamblea | 2:30 p.m. | Chiquitibúm | Chiquiticos | Musical | Todo público |
| **Artes Escénicas** | Sábado 11 | Tarima Móvil - Asamblea | 3:30 p.m. | FESTIFOLK C. R. | 21 Grupos Folclóricos | Folclor Adultos | (Ver programa para lista de grupos) |
| **Artes Escénicas** | Sábado 11 | Tarima Móvil - Asamblea | 4:50 p.m. | El llanto de un tambor | Iré Movimiento | Danza | Todo público |
| **Artes Escénicas** | Sábado 11 | Tarima Móvil - Asamblea | 5:45 p.m. | Sumergencia | Michelle Sánchez | Danza | Todo público |
| **Artes Escénicas** | Sábado 11 | Tarima Móvil - Asamblea | 7:00 p.m. | El último bolero | Grupo de Teatro Boca Calle MSJ | Teatro | Todo público |
| **Artes Escénicas** | Sábado 11 | Tarima Móvil - Asamblea | 7:50 p.m. | Swingnopsis | La Cuna del Swing | Swing criollo | Todo público |
| **Artes Escénicas** | Domingo 12 | Parque España (Tarima Electrónica) | 1:00 p.m. | ENTRE PÁGINAS: El secreto... | Plástica Escénica Solaris | Teatro | Todo público |
| **Artes Escénicas** | Domingo 12 | Parque España (Tarima Electrónica) | 2:00 p.m. | Impromptus | Cine en IV Impromptus | Improvisación teatral | Todo público |
| **Artes Escénicas** | Domingo 12 | Tarima Urbana Calle 21 | 11:00 a.m. | Pura Identidad | EvolucionArte | Danza | Todo público |
| **Artes Escénicas** | Domingo 12 | Tarima Urbana Calle 21 | 11:30 a.m. | Mi tierra | Grupo folclórico Costumbres... | Danza folclórica | Todo público |
| **Artes Escénicas** | Domingo 12 | Tarima Urbana Calle 21 | 12:00 p.m. | Como si fuera el aire | Colectivo Javorai | Teatro y circo | Todo público |
| **Artes Escénicas** | Domingo 12 | Tarima Urbana Calle 21 | 1:00 p.m. | L´Amour | Katherine Marchena | Teatro físico | Todo público |
| **Artes Escénicas** | Domingo 12 | Tarima Móvil - Asamblea | 11:00 a.m. | Amor de temporda | Enrique Alvarado | Teatro Musical | Todo público |
| **Artes Escénicas** | Domingo 12 | Tarima Móvil - Asamblea | 12:10 p.m. | Espectáculo folclórico | Cía. Folclórica Municipal SJ | Danza folclórica | Todo público |
| **Artes Escénicas** | Domingo 12 | Tarima Móvil - Asamblea | 12:30 p.m. | El Fiestón 40° Aniversario | Los Pirulos | Comedia Clown | Todo público |
| **Artes Escénicas** | Domingo 12 | Tarima Móvil - Asamblea | 2:00 p.m. | Duelo y Dos | Allyson Maykall | Danza | Todo público |
| **Artes Escénicas** | Domingo 12 | Tarima Móvil - Asamblea | 3:00 p.m. | Manual de Desuso a 4 voces | Luis Diego Gamboa | Danza | Todo público |
| **Artes Escénicas** | Domingo 12 | Tarima Móvil - Asamblea | 3:30 p.m. | Dialógos de dos cuerpos... | Cami Ramírez y Raúl Martínez | Danza | Todo público |
| **Artes Escénicas** | Domingo 12 | Tarima Móvil - Asamblea | 4:00 p.m. | La Razón Eclipsada | Cata Zeledón y Bryan Chavarría | Danza | Todo público |
| **Artes Escénicas** | Domingo 12 | Tarima Móvil - Asamblea | 5:00 p.m. | Trazos | Michelle Moreira | Danza | Todo público |
| **Artes Escénicas** | Domingo 12 | Tarima Móvil - Asamblea | 5:45 p.m. | La bailarina y el callejero | Grupo de Teatro Boca Calle MSJ | Teatro | Todo público |
| **Artes Escénicas** | Domingo 12 | Tarima Móvil - Asamblea | 6:30 p.m. | Enjambre | Jayne Juslin Pennington | Danza | Todo público |
| **Artes Escénicas** | Domingo 12 | Tarima Móvil - Asamblea | 7:15 p.m. | GRIOTS: cuerpos, musica y poesía | Shirley Campbell | Danza | Todo público |
| **Artes Escénicas** | Domingo 12 | Paseo de los Damas | 2:00 p.m. | FESTIFOLK C. R. | 13 Agrupaciones Costa Rica | Pasacalle | Pasacalle Nacional |
| **Artes Escénicas** | Domingo 12 | Gradas Tribunal Supremo (TSE) | 11:00 a.m. | Festival Puro Cuento | Cucaramacara Producciones | Narración Oral | Todo público |
| **Artes Escénicas** | Domingo 12 | Gradas Tribunal Supremo (TSE) | 12:00 m.d. | Festival Puro Cuento | Edgar Serrano (Co) Monólogo | Narración Oral | Todo público |
| **Artes Escénicas** | Domingo 12 | Gradas Tribunal Supremo (TSE) | 1:00 p.m. | Festival Puro Cuento | Katherine Marchena Cuentería | Narración Oral | Todo público |
| **Artes Escénicas** | Domingo 12 | Gradas Tribunal Supremo (TSE) | 1:30 p.m. | Festival Puro Cuento | Grupo Tres Deseos Cuentería | Narración Oral | Todo público |
| **Artes Escénicas** | Domingo 12 | Gradas Tribunal Supremo (TSE) | 2:00 p.m. | Festival Puro Cuento | Bonart Cuentería | Narración Oral | Todo público |
| **Artes Escénicas** | Domingo 12 | Gradas Tribunal Supremo (TSE) | 3:00 p.m. | Festival Puro Cuento | Cuentofagos Cuentería | Narración Oral | Todo público |
| **Artes Escénicas** | Domingo 12 | Gradas Tribunal Supremo (TSE) | 3:30 p.m. | Festival Puro Cuento | Gilda Benavidez Monólogo | Narración Oral | Todo público |
| **Artes Escénicas** | Domingo 12 | Gradas Tribunal Supremo (TSE) | 4:00 p.m. | Festival Puro Cuento | Jenny Aranda Cuentería | Narración Oral | Todo público |
| **Artes Escénicas** | Domingo 12 | Gradas Tribunal Supremo (TSE) | 4:30 p.m. | Festival Puro Cuento | Ana Maria Amador Circo | Show de circo | Todo público |
| **Artes Escénicas** | Domingo 12 | Gradas Tribunal Supremo (TSE) | 5:00 p.m. | Festival Puro Cuento | Calypsonia Monólogo | Stand up Comedy | Todo público |
| **Artes Escénicas** | Domingo 12 | Gradas Tribunal Supremo (TSE) | 6:00 p.m. | Festival Puro Cuento | Colectivo Cuentiando Cuentería | Narración Oral | Todo público |
| **Artes Escénicas** | Domingo 12 | Gradas Tribunal Supremo (TSE) | 7:00 p.m. | Festival Puro Cuento | Thelma Darkings Monólogo | Narración Oral | Todo público |
| **Bienestar Animal** | Viernes 10 | Parque Morazán | 11:00 a.m. | Mini parque de perros | MSJ- Dok appetit | Recreación animal | Todo público |
| **Bienestar Animal** | Viernes 10 | Parque Morazán | 11:00 a.m. | Mercado de productos Mascotas | Municipalidad de San José | Mercado | Todo público |
| **Bienestar Animal** | Sábado 11 | Parque Morazán | 11:00 a.m. | Mini parque de perros | MSJ- Dok appetit | Recreación animal | Todo público |
| **Bienestar Animal** | Sábado 11 | Parque Morazán | 11:00 a.m. | Mercado de productos Mascotas | Municipalidad de San José | Mercado | Todo público |
| **Bienestar Animal** | Sábado 11 | Parque Morazán | 11:30 a.m. | Pasarela Poodles | Municipalidad de San José | Exhibición | Todo público |
| **Bienestar Animal** | Sábado 11 | Parque Morazán | 1:00 p.m. | Mejor truco de tu mascota | Municipalidad de San José | Exhibición | Todo público |
| **Bienestar Animal** | Sábado 11 | Parque Morazán | 1:30 p.m. | Mi mascota y yo nos parecemos | Municipalidad de San José | Concurso | Todo público |
| **Bienestar Animal** | Sábado 11 | Parque Morazán | 2:00 p.m. | Pasarela Pastores | Municipalidad de San José | Exhibición | Todo público |
| **Bienestar Animal** | Sábado 11 | Parque Morazán | 3:00 p.m. | Exhibición unidad canina K9 | Municipalidad de San José | Exhibición | Todo público |
| **Bienestar Animal** | Sábado 11 | Parque Morazán | 3:30 p.m. | Charla de Popostaje | Ollín, Compostaje Creativo | Charla | Todo público |
